date,year,month,time,call,,,,date,
3,2023,1,08:30-08:45,57,,03/01/2023,08:30,44929,08:30:00
3,2023,1,08:45-09:00,37,,03/01/2023,08:45,44929,08:45:00
3,2023,1,09:00-09:15,60,,03/01/2023,09:00,44929,09:00:00
3,2023,1,09:15-09:30,80,,03/01/2023,09:15,44929,09:15:00
3,2023,1,09:30-09:45,98,,03/01/2023,09:30,44929,09:30:00
3,2023,1,09:45-10:00,116,,03/01/2023,09:45,44929,09:45:00
3,2023,1,10:00-10:15,113,,03/01/2023,10:00,44929,10:00:00
3,2023,1,10:15-10:30,131,,03/01/2023,10:15,44929,10:15:00
3,2023,1,10:30-10:45,137,,03/01/2023,10:30,44929,10:30:00
3,2023,1,10:45-11:00,123,,03/01/2023,10:45,44929,10:45:00
3,2023,1,11:00-11:15,151,,03/01/2023,11:00,44929,11:00:00
3,2023,1,11:15-11:30,155,,03/01/2023,11:15,44929,11:15:00
3,2023,1,11:30-11:45,146,,03/01/2023,11:30,44929,11:30:00
3,2023,1,11:45-12:00,132,,03/01/2023,11:45,44929,11:45:00
3,2023,1,12:00-12:15,153,,03/01/2023,12:00,44929,12:00:00
3,2023,1,12:15-12:30,138,,03/01/2023,12:15,44929,12:15:00
3,2023,1,12:30-12:45,145,,03/01/2023,12:30,44929,12:30:00
3,2023,1,12:45-13:00,145,,03/01/2023,12:45,44929,12:45:00
3,2023,1,13:00-13:15,127,,03/01/2023,13:00,44929,13:00:00
3,2023,1,13:15-13:30,112,,03/01/2023,13:15,44929,13:15:00
3,2023,1,13:30-13:45,127,,03/01/2023,13:30,44929,13:30:00
3,2023,1,13:45-14:00,132,,03/01/2023,13:45,44929,13:45:00
3,2023,1,14:00-14:15,131,,03/01/2023,14:00,44929,14:00:00
3,2023,1,14:15-14:30,127,,03/01/2023,14:15,44929,14:15:00
3,2023,1,14:30-14:45,120,,03/01/2023,14:30,44929,14:30:00
3,2023,1,14:45-15:00,131,,03/01/2023,14:45,44929,14:45:00
3,2023,1,15:00-15:15,108,,03/01/2023,15:00,44929,15:00:00
3,2023,1,15:15-15:30,105,,03/01/2023,15:15,44929,15:15:00
3,2023,1,15:30-15:45,97,,03/01/2023,15:30,44929,15:30:00
3,2023,1,15:45-16:00,125,,03/01/2023,15:45,44929,15:45:00
3,2023,1,16:00-16:15,108,,03/01/2023,16:00,44929,16:00:00
3,2023,1,16:15-16:30,97,,03/01/2023,16:15,44929,16:15:00
3,2023,1,16:30-16:45,107,,03/01/2023,16:30,44929,16:30:00
3,2023,1,16:45-17:00,93,,03/01/2023,16:45,44929,16:45:00
3,2023,1,17:00-17:15,96,,03/01/2023,17:00,44929,17:00:00
3,2023,1,17:15-17:30,79,,03/01/2023,17:15,44929,17:15:00
3,2023,1,17:30-17:45,79,,03/01/2023,17:30,44929,17:30:00
3,2023,1,17:45-18:00,99,,03/01/2023,17:45,44929,17:45:00
3,2023,1,18:00-18:15,86,,03/01/2023,18:00,44929,18:00:00
3,2023,1,18:15-18:30,73,,03/01/2023,18:15,44929,18:15:00
