time,call
44929.3541666667,57
44929.3645833333,37
44929.3750000000,60
44929.3854166667,80
44929.3958333333,98
44929.4062500000,116
44929.4166666667,113
44929.4270833333,131
44929.4375000000,137
44929.4479166667,123
44929.4583333333,151
44929.4687500000,155
44929.4791666667,146
44929.4895833333,132
44929.5000000000,153
44929.5104166667,138
44929.5208333333,145
44929.5312500000,145
44929.5416666667,127
44929.5520833333,112
44929.5625000000,127
44929.5729166667,132
44929.5833333333,131
44929.5937500000,127
44929.6041666667,120
44929.6145833333,131
44929.6250000000,108
44929.6354166667,105
44929.6458333333,97
44929.6562500000,125
44929.6666666667,108
44929.6770833333,97
44929.6875000000,107
44929.6979166667,93
44929.7083333333,96
44929.7187500000,79
44929.7291666667,79
44929.7395833333,99
44929.7500000000,86
44929.7604166667,73
44929.7708333333,70
44929.7812500000,43
44929.7916666667,63
44929.8020833333,50
44929.8125000000,38
44929.8229166667,49
44929.8333333333,31
44929.8437500000,54
44929.8541666667,35
44929.8645833333,31
44929.8750000000,0
44930.3541666667,32
44930.3645833333,35
44930.3750000000,42
44930.3854166667,57
44930.3958333333,70
44930.4062500000,62
44930.4166666667,75
44930.4270833333,91
44930.4375000000,85
44930.4479166667,112
44930.4583333333,107
44930.4687500000,92
44930.4791666667,126
44930.4895833333,130
44930.5000000000,129
44930.5104166667,130
44930.5208333333,107
44930.5312500000,134
44930.5416666667,143
44930.5520833333,99
44930.5625000000,100
44930.5729166667,126
44930.5833333333,123
44930.5937500000,124
44930.6041666667,117
44930.6145833333,126
44930.6250000000,139
44930.6354166667,118
44930.6458333333,137
44930.6562500000,154
44930.6666666667,101
44930.6770833333,110
44930.6875000000,100
44930.6979166667,95
44930.7083333333,80
44930.7187500000,92
44930.7291666667,66
44930.7395833333,65
44930.7500000000,70
44930.7604166667,68
44930.7708333333,61
44930.7812500000,69
44930.7916666667,47
44930.8020833333,57
44930.8125000000,38
44930.8229166667,49
44930.8333333333,37
44930.8437500000,35
44930.8541666667,26
44930.8645833333,23
44930.8750000000,0
44931.3541666667,33
44931.3645833333,25
44931.3750000000,47
44931.3854166667,49
44931.3958333333,60
44931.4062500000,64
44931.4166666667,86
44931.4270833333,98
44931.4375000000,95
44931.4479166667,84
44931.4583333333,99
44931.4687500000,107
44931.4791666667,109
44931.4895833333,107
44931.5000000000,116
44931.5104166667,122
44931.5208333333,104
44931.5312500000,125
44931.5416666667,152
44931.5520833333,145
44931.5625000000,132
44931.5729166667,160
44931.5833333333,156
44931.5937500000,129
44931.6041666667,152
44931.6145833333,173
44931.6250000000,128
44931.6354166667,117
44931.6458333333,128
44931.6562500000,112
44931.6666666667,95
44931.6770833333,99
44931.6875000000,115
44931.6979166667,86
44931.7083333333,108
44931.7187500000,83
44931.7291666667,77
44931.7395833333,99
44931.7500000000,77
44931.7604166667,58
44931.7708333333,58
44931.7812500000,66
44931.7916666667,54
44931.8020833333,40
44931.8125000000,58
44931.8229166667,54
44931.8333333333,39
44931.8437500000,36
44931.8541666667,28
44931.8645833333,21
44931.8750000000,0
44932.3541666667,36
44932.3645833333,22
44932.3750000000,46
44932.3854166667,59
44932.3958333333,63
44932.4062500000,78
44932.4166666667,84
44932.4270833333,98
44932.4375000000,106
44932.4479166667,92
44932.4583333333,107
44932.4687500000,104
44932.4791666667,116
44932.4895833333,105
44932.5000000000,107
44932.5104166667,109
44932.5208333333,121
44932.5312500000,159
44932.5416666667,120
44932.5520833333,155
44932.5625000000,148
44932.5729166667,132
44932.5833333333,133
44932.5937500000,111
44932.6041666667,106
44932.6145833333,142
44932.6250000000,114
44932.6354166667,106
44932.6458333333,103
44932.6562500000,111
44932.6666666667,87
44932.6770833333,94
44932.6875000000,83
44932.6979166667,118
44932.7083333333,83
44932.7187500000,71
44932.7291666667,79
44932.7395833333,75
44932.7500000000,63
44932.7604166667,61
44932.7708333333,56
44932.7812500000,50
44932.7916666667,44
44932.8020833333,41
44932.8125000000,41
44932.8229166667,42
44932.8333333333,36
44932.8437500000,22
44932.8541666667,27
44932.8645833333,29
44932.8750000000,0
44934.3541666667,0
44934.3645833333,0
44934.3750000000,20
44934.3854166667,22
44934.3958333333,20
44934.4062500000,22
44934.4166666667,24
44934.4270833333,30
44934.4375000000,44
44934.4479166667,50
44934.4583333333,36
44934.4687500000,46
44934.4791666667,49
44934.4895833333,59
44934.5000000000,49
44934.5104166667,44
44934.5208333333,60
44934.5312500000,46
44934.5416666667,52
44934.5520833333,60
44934.5625000000,45
44934.5729166667,47
44934.5833333333,44
44934.5937500000,45
44934.6041666667,32
44934.6145833333,43
44934.6250000000,45
44934.6354166667,48
44934.6458333333,46
44934.6562500000,34
44934.6666666667,27
44934.6770833333,30
